data;taxa_selic;abertura_ibov
30/12/2021;9.15;104106.37
29/12/2021;9.15;104862.93
28/12/2021;9.15;105554.65
27/12/2021;9.15;104891.96
23/12/2021;9.15;105251.13
22/12/2021;9.15;105498.6
21/12/2021;9.15;105019.78
20/12/2021;9.15;107171.21
17/12/2021;9.15;108324.23
16/12/2021;9.15;107432.62
15/12/2021;9.15;106762.55
14/12/2021;9.15;107387.06
13/12/2021;9.15;107758.34
10/12/2021;9.15;106296.33
09/12/2021;9.15;108094.77
08/12/2021;7.65;107557.67
07/12/2021;7.65;106868.21
06/12/2021;7.65;105069.69
03/12/2021;7.65;104466.6
02/12/2021;7.65;100784.58
01/12/2021;7.65;101916.3
30/11/2021;7.65;102814.03
29/11/2021;7.65;102226.78
26/11/2021;7.65;105810.14
25/11/2021;7.65;104514.19
24/11/2021;7.65;103651.88
23/11/2021;7.65;102123.95
22/11/2021;7.65;103036.02
19/11/2021;7.65;102426
18/11/2021;7.65;102948.45
17/11/2021;7.65;104404.94
16/11/2021;7.65;106335.67
12/11/2021;7.65;107576.11
11/11/2021;7.65;105987.86
10/11/2021;7.65;105535.36
09/11/2021;7.65;104783.02
08/11/2021;7.65;104824.32
05/11/2021;7.65;103412.09
04/11/2021;7.65;105616.88
03/11/2021;7.65;105547.05
01/11/2021;7.65;103513.62
29/10/2021;7.65;105706.66
28/10/2021;7.65;106369.01
27/10/2021;6.15;106432.87
26/10/2021;6.15;108713.31
25/10/2021;6.15;106297.51
22/10/2021;6.15;107714.06
21/10/2021;6.15;110767.14
20/10/2021;6.15;110677.48
19/10/2021;6.15;114422.23
18/10/2021;6.15;114646.73
15/10/2021;6.15;113189.27
14/10/2021;6.15;113456.59
13/10/2021;6.15;112180.48
11/10/2021;6.15;112833.85
08/10/2021;6.15;110586.44
07/10/2021;6.15;110563.26
06/10/2021;6.15;110453.95
05/10/2021;6.15;110397.37
04/10/2021;6.15;112899.68
01/10/2021;6.15;110979.75
30/09/2021;6.15;111117.04
29/09/2021;6.15;110124.71
28/09/2021;6.15;113584.12
27/09/2021;6.15;113282.89
24/09/2021;6.15;114062.2
23/09/2021;6.15;112282.19
22/09/2021;5.15;110251.68
21/09/2021;5.15;108859.22
20/09/2021;5.15;111434.67
17/09/2021;5.15;113794.04
16/09/2021;5.15;115061.97
15/09/2021;5.15;116190.51
14/09/2021;5.15;116404.54
13/09/2021;5.15;114300.47
10/09/2021;5.15;115370.01
09/09/2021;5.15;113412.71
08/09/2021;5.15;117866.14
06/09/2021;5.15;116925.96
03/09/2021;5.15;116678.61
02/09/2021;5.15;119394.46
01/09/2021;5.15;118793.11
31/08/2021;5.15;119737.95
30/08/2021;5.15;120677.33
27/08/2021;5.15;118725.14
26/08/2021;5.15;120817.47
25/08/2021;5.15;120210.21
24/08/2021;5.15;117474.11
23/08/2021;5.15;118052.54
20/08/2021;5.15;117163.03
19/08/2021;5.15;116641.24
18/08/2021;5.15;117903.81
17/08/2021;5.15;119178.77
16/08/2021;5.15;121191.45
13/08/2021;5.15;120701.03
12/08/2021;5.15;122056.34
11/08/2021;5.15;122202.63
10/08/2021;5.15;123021.24
09/08/2021;5.15;122808.96
06/08/2021;5.15;121632.79
05/08/2021;5.15;121800.96
04/08/2021;4.15;123576.56
03/08/2021;4.15;122516.31
02/08/2021;4.15;121802.61
30/07/2021;4.15;125671.95
29/07/2021;4.15;126285.2
