Data;Retorno Anualizado
31/01/1997;3.399035
28/02/1997;2.441191
31/03/1997;0.334715
30/04/1997;2.268016
30/05/1997;3.640704
30/06/1997;2.416526
31/07/1997;0.333439
29/08/1997;-0.901748
30/09/1997;2.574091
31/10/1997;-0.961846
28/11/1997;0.703765
31/12/1997;1.672706
30/01/1998;-0.436574
27/02/1998;1.734668
31/03/1998;3.342804
30/04/1998;-0.239139
29/05/1998;-0.870836
30/06/1998;-0.18659
31/07/1998;2.361911
31/08/1998;-0.997621
30/09/1998;0.248921
30/10/1998;1.223588
30/11/1998;10.394155
31/12/1998;-0.944397
29/01/1999;8.321213
26/02/1999;1.826376
31/03/1999;7.95621
30/04/1999;1.03842
31/05/1999;-0.243588
30/06/1999;0.763824
30/07/1999;-0.724741
31/08/1999;0.150895
30/09/1999;0.822852
29/10/1999;0.868695
30/11/1999;6.112198
31/12/1999;12.273197
31/01/2000;-0.39591
29/02/2000;1.452319
31/03/2000;0.114305
28/04/2000;-0.807019
31/05/2000;-0.367035
30/06/2000;2.830286
31/07/2000;-0.179193
31/08/2000;0.884231
29/09/2000;-0.640629
31/10/2000;-0.562735
30/11/2000;-0.740317
29/12/2000;4.26247
31/01/2001;4.822581
28/02/2001;-0.720497
30/03/2001;-0.683576
30/04/2001;0.479427
31/05/2001;-0.195515
29/06/2001;-0.071284
31/07/2001;-0.494676
31/08/2001;-0.561841
28/09/2001;-0.895752
31/10/2001;1.21577
30/11/2001;3.712058
31/12/2001;0.794984
31/01/2002;-0.54227
28/02/2002;2.247516
28/03/2002;-0.496085
30/04/2002;-0.142723
31/05/2002;-0.187147
28/06/2002;-0.821821
31/07/2002;-0.794737
30/08/2002;1.093662
30/09/2002;-0.892372
31/10/2002;6.227992
29/11/2002;0.485686
31/12/2002;1.311646
31/01/2003;-0.297701
28/02/2003;-0.526595
31/03/2003;2.023825
30/04/2003;2.64537
30/05/2003;1.224349
30/06/2003;-0.33524
31/07/2003;0.718933
29/08/2003;2.818201
30/09/2003;0.903246
31/10/2003;3.030509
28/11/2003;2.997355
31/12/2003;2.1978
30/01/2004;-0.189084
27/02/2004;-0.051465
31/03/2004;0.235643
30/04/2004;-0.767549
31/05/2004;-0.037884
30/06/2004;1.576737
30/07/2004;0.926785
31/08/2004;0.281855
30/09/2004;0.259073
29/10/2004;-0.095208
30/11/2004;1.814438
31/12/2004;0.647877
31/01/2005;-0.583929
28/02/2005;4.67174
31/03/2005;-0.488513
29/04/2005;-0.56156
31/05/2005;0.190709
30/06/2005;-0.071789
29/07/2005;0.59291
31/08/2005;1.432134
30/09/2005;3.162565
31/10/2005;-0.417314
30/11/2005;0.946374
30/12/2005;0.759669
31/01/2006;4.199946
24/02/2006;0.073659
31/03/2006;-0.186643
28/04/2006;1.094704
31/05/2006;-0.698008
30/06/2006;0.033349
31/07/2006;0.156677
31/08/2006;-0.24168
29/09/2006;0.074286
31/10/2006;1.440291
30/11/2006;1.201677
29/12/2006;1.026443
31/01/2007;0.046285
28/02/2007;-0.183761
30/03/2007;0.668078
30/04/2007;1.222441
31/05/2007;1.19361
29/06/2007;0.612834
31/07/2007;-0.045359
31/08/2007;0.105559
28/09/2007;2.374478
31/10/2007;1.525027
30/11/2007;-0.350965
31/12/2007;0.181097
31/01/2008;-0.574931
29/02/2008;1.183002
31/03/2008;-0.385048
30/04/2008;2.620406
30/05/2008;1.242253
30/06/2008;-0.733524
31/07/2008;-0.654603
29/08/2008;-0.549444
30/09/2008;-0.753858
31/10/2008;-0.967283
28/11/2008;-0.193311
31/12/2008;0.362255
30/01/2009;0.727394
27/02/2009;-0.292494
31/03/2009;1.29839
30/04/2009;4.665749
29/05/2009;3.106995
30/06/2009;-0.327801
31/07/2009;1.108111
31/08/2009;0.450231
30/09/2009;1.782706
30/10/2009;0.005476
30/11/2009;1.79258
31/12/2009;0.314192
29/01/2010;-0.435017
26/02/2010;0.222031
31/03/2010;0.970742
30/04/2010;-0.39024
31/05/2010;-0.561463
30/06/2010;-0.335475
30/07/2010;2.422957
31/08/2010;-0.348717
