Data;RetornoMGLU3;RetornoIBOV
02/01/2013;0,057613;0,026217
03/01/2013;0,041245;0,012182
04/01/2013;-0,013453;-0,012462
07/01/2013;-0,015909;-0,009453
08/01/2013;-0,006928;-0,012998
09/01/2013;-0,015504;0,007378
10/01/2013;0,011811;0,001624
11/01/2013;-0,018677;-0,002935
14/01/2013;0,027756;0,00948
15/01/2013;-0,000772;-0,005686
16/01/2013;-0,019305;0,000972
17/01/2013;-0,023622;0,006587
18/01/2013;-0,014516;-0,003827
21/01/2013;-0,005728;-0,00092
22/01/2013;-0,023045;-0,003344
23/01/2013;-0,009267;0,004441
24/01/2013;-0,022109;-0,012862
25/01/2013;0;0
28/01/2013;0,021739;-0,01867
29/01/2013;0,022979;0,006314
30/01/2013;-0,018303;-0,017713
31/01/2013;0,016949;0,007163
01/02/2013;0,046667;0,009873
04/02/2013;0,002389;-0,012858
05/02/2013;-0,059571;-0,002199
06/02/2013;-0,030405;-0,008294
07/02/2013;-0,005226;-0,009822
08/02/2013;-0,010508;0,002141
13/02/2013;-0,015044;-0,001573
14/02/2013;0,01168;-0,005616
15/02/2013;-0,031083;-0,002996
18/02/2013;-0,023831;-0,005008
19/02/2013;0,032864;-0,00519
20/02/2013;-0,033636;-0,019838
21/02/2013;0,011289;-0,000409
22/02/2013;0,003721;0,00967
25/02/2013;-0,014829;-0,001411
26/02/2013;-0,009407;0,005846
27/02/2013;-0,023742;0,005707
28/02/2013;-0,013619;0,002636
01/03/2013;-0,018738;-0,009421
04/03/2013;-0,048241;-0,006751
05/03/2013;0,024287;-0,009717
06/03/2013;0,005155;0,035567
07/03/2013;-0,025641;0,015637
08/03/2013;-0,009474;-0,007035
11/03/2013;0,024442;0,001917
12/03/2013;0,021784;-0,005739
13/03/2013;-0,043655;-0,014139
14/03/2013;0,014862;-0,001812
15/03/2013;-0,017782;-0,007193
18/03/2013;-0,019169;0,001811
19/03/2013;-0,006515;-0,010725
20/03/2013;-0,003279;-0,005873
21/03/2013;0,015351;-0,008103
22/03/2013;-0,011879;-0,005992
25/03/2013;0,006557;-0,006698
26/03/2013;-0,033659;0,014543
27/03/2013;0;0,00652
28/03/2013;0,029213;0,005675
01/04/2013;-0,008734;-0,007986
02/04/2013;0,029736;-0,018121
03/04/2013;0;0,012261
04/04/2013;-0,003209;-0,01645
05/04/2013;-0,01824;0,007356
08/04/2013;-0,010929;0,000763
09/04/2013;0,007735;0,014884
10/04/2013;-0,014254;0,004901
11/04/2013;-0,041157;-0,013989
12/04/2013;0,022042;-0,007906
15/04/2013;-0,036322;-0,036625
16/04/2013;0,015312;0,01966
17/04/2013;-0,054524;-0,020541
18/04/2013;0,004908;0,005371
19/04/2013;-0,003663;0,014352
22/04/2013;-0,025735;0,006842
23/04/2013;-0,008805;0,010811
24/04/2013;0,002538;0,001822
25/04/2013;0,017722;-0,000382
26/04/2013;-0,064677;-0,012936
29/04/2013;-0,041223;0,011705
30/04/2013;-0,006935;0,018638
02/05/2013;0,026536;-0,010535
03/05/2013;0,065306;0,003019
06/05/2013;0,01788;-0,001063
07/05/2013;0,041405;0,015245
08/05/2013;-0,024096;-0,008352
09/05/2013;0;-0,006397
10/05/2013;-0,012346;-0,006132
13/05/2013;-0,04375;-0,011977
14/05/2013;0,053595;0,004022
15/05/2013;0,01861;0,004939
16/05/2013;-0,056029;-0,002985
